"체결시간","체결가","체결량"
"09:00:12 733","10600","1263"
"09:00:12 919","10550","-205"
"09:00:51 009","10500","-94"
"09:01:03 341","10500","-44"
"09:01:44 044","10500","-652"
"09:01:59 920","10500","+50"
"09:02:00 221","10500","-23"
"09:02:01 640","10500","-1"
"09:02:04 628","10500","-31"
"09:02:13 527","10500","-850"
"09:02:14 316","10500","+10"
"09:02:20 222","10500","+70"
"09:03:18 030","10550","+271"
"09:03:25 424","10550","-120"
"09:03:25 426","10550","-50"
"09:03:25 426","10550","-66"
"09:03:25 427","10550","-57"
"09:03:25 427","10550","-223"
"09:03:25 428","10550","-59"
"09:03:25 428","10550","-47"
"09:03:40 917","10550","+10"
"09:03:49 513","10500","-18"
"09:04:23 926","10500","-48"
"09:04:38 641","10500","-34"
"09:05:01 328","10500","-36"
"09:05:01 725","10500","-45"
"09:05:04 435","10500","-100"
"09:05:05 524","10500","-380"
"09:05:13 324","10500","-10"
"09:05:33 114","10500","-4"
"09:05:57 127","10550","+863"
"09:06:04 934","10550","+560"
"09:06:11 923","10550","+161"
"09:06:39 707","10550","-1"
"09:07:01 022","10550","-36"
"09:07:01 730","10550","-45"
"09:07:02 416","10550","-40"
"09:07:17 514","10550","-3"
"09:07:39 116","10600","+700"
"09:07:39 327","10600","+4"
"09:07:39 916","10600","+100"
"09:08:37 827","10550","-5"
"09:08:46 417","10550","-913"
"09:08:49 214","10550","+87"
"09:09:01 038","10550","-74"
"09:09:01 812","10550","-93"
"09:09:26 930","10550","-23"
"09:09:32 611","10550","-232"
"09:09:41 203","10550","-50"
"09:10:01 826","10550","-891"
"09:10:01 826","10500","-1398"
"09:10:31 822","10550","-10"
"09:10:37 913","10550","-491"
"09:10:42 034","10550","+1"
"09:10:43 900","10550","+358"
"09:10:56 910","10550","-5"
"09:11:09 917","10600","+53"
"09:12:27 128","10600","+100"
"09:12:33 929","10600","+5"
"09:13:11 432","10550","-1"
"09:13:28 110","10550","-137"
"09:13:33 303","10550","-150"
"09:13:33 435","10550","-322"
"09:14:43 107","10600","+300"
"09:15:10 019","10600","+200"
"09:15:12 009","10550","-38"
"09:15:26 520","10550","-1"
"09:16:37 022","10550","-1"
"09:16:37 027","10550","-200"
"09:16:38 117","10550","-100"
"09:16:51 914","10550","-200"
"09:17:05 204","10600","+60"
"09:17:15 622","10550","-1"
"09:17:21 513","10600","+1272"
"09:17:24 220","10600","-69"
"09:17:34 412","10600","-300"
