주문번호,종목이름,임시,거래량,거래대금,종가,기준가
060310,3S,407,119705,406,3385,3375
095570,AJ네트웍스,783,93005,399,4280,4235
068400,AJ렌터카,3486,229173,2481,10900,11000
006840,AK홀딩스,795,18527,627,33750,34400
054620,APS홀딩스,2914,143837,1520,10500,10450
265520,AP시스템,4155,179728,5102,28450,28400
211270,AP위성,124,3525,23,6590,6670
027410,BGF,2468,82693,513,6220,6210
282330,BGF리테일,1663,12635,2453,194500,191500
138930,BNK금융지주,4739,807043,5801,7180,7120
001460,BYC,52,256,61,239500,240500
001465,BYC우,32,598,76,126500,129000
001040,CJ,1912,50570,4235,83300,84000
00104K,CJ4우(전환),608,6494,395,60900,61300
000120,CJ대한통운,8103,113786,16930,149000,144500
011150,CJ씨푸드,1425,423388,1296,3070,3085
011155,CJ씨푸드1우,125,2166,71,33250,33300
001045,CJ우,245,2922,123,42000,41950
097950,CJ제일제당,3630,34142,7683,223500,223000
051500,CJ프레시웨이,2011,20151,513,25400,25700
037560,CJ헬로,4969,986969,6118,6080,6450
058820,CMG제약,6798,2481488,7516,3010,3075
023460,CNH,242,72963,107,1465,1475
065770,CS,461,77835,271,3455,3450
000590,CS홀딩스,26,203,12,57700,57400
012030,DB,351,294283,229,777,771
322780,DB금융스팩7호,26,4500,9,2080,2080
016610,DB금융투자,322,30114,132,4370,4410
005830,DB손해보험,4734,113602,6115,53700,53700
000990,DB하이텍,7009,467184,7885,16800,17350
000995,DB하이텍1우,46,565,23,41000,41400
139130,DGB금융지주,4286,501381,3619,7230,7190
001530,DI동일,304,2760,207,75700,75100
068790,DMS,777,165117,869,5310,5200
004840,DRB동일,67,2249,13,5620,5600
241520,DSC인베스트먼트,205,47892,142,3000,2935
155660,DSR,260,14231,60,4135,4165
069730,DSR제강,195,17437,77,4430,4450
017940,E1,240,2918,145,49700,49600
245620,EDGC,621,88011,502,5660,5830
037370,EG,128,11626,107,9260,9260
007700,F&F,6927,78309,7012,90700,90400
130500,GH신소재,302,64788,191,2910,2905
114090,GKL,3661,200560,4434,21800,21850
900290,GRT,540,137957,280,2025,2070
078930,GS,3142,73019,3717,50600,51000
083450,GST,398,36688,263,7270,7200
006360,GS건설,4591,205348,6525,31700,31900
001250,GS글로벌,1498,129594,309,2390,2395
007070,GS리테일,3734,116348,4690,40300,40200
078935,GS우,200,2596,97,37400,37100
028150,GS홈쇼핑,1375,8129,1223,150700,149000
045890,GV,2186,1049433,2532,2400,2520
078150,HB테크놀러지,7123,2111905,5936,2790,2890
012630,HDC,2767,119791,1477,12300,12300
039570,HDC아이콘트롤스,205,2157,21,9600,9620
089470,HDC현대EP,854,97857,431,4410,4470
294870,HDC현대산업개발,2764,100173,3248,32400,32600
036640,HRS,234,32396,81,2500,2490
082740,HSD엔진,1522,296984,1058,3575,3390
299170,IBKS제10호스팩,5,222,0,2125,2120
254120,IBKS제5호스팩,105,24815,50,2015,2035
264850,IBKS제6호스팩,24,3442,7,2030,2035
276920,IBKS제7호스팩,2,501,1,2130,2130
003560,IHQ,1416,388958,718,1855,1855
095340,ISC,495,69449,694,9990,10000
099520,ITX엠투엠,2605,338699,497,1475,1400
175330,JB금융지주,3761,252315,1381,5470,5480
950170,JTC,1487,99697,841,8400,8520
234080,JW생명과학,1651,59161,1263,21400,21650
067290,JW신약,945,132384,596,4480,4575
001060,JW중외제약,1632,38156,1082,28100,28550
001067,JW중외제약2우B,24,101,4,39600,39950
001065,JW중외제약우,16,85,2,26750,26800
096760,JW홀딩스,1365,79955,488,6040,6060
024840,KBI메탈,158,70581,110,1580,1560
105560,KB금융,9573,628270,26914,42900,42700
024120,KB오토시스,30,529,3,5750,5700
002380,KCC,2340,15245,3403,222500,222000
021320,KCC건설,103,4599,30,6570,6550
036670,KCI,220,10117,97,9600,9660
009070,KCTC,532,64885,193,3030,2995
009440,KC그린홀딩스,564,55936,257,4575,4575
