주문번호,종목이름,임시,거래량,거래대금,종가,기준가
060310,3S,647,254455,863,3380,3420
095570,AJ네트웍스,955,50481,212,4220,4235
068400,AJ렌터카,715,145770,1638,11200,11250
006840,AK홀딩스,963,18586,606,32750,31750
054620,APS홀딩스,5573,368765,3710,10000,10450
265520,AP시스템,5940,316610,8758,27400,27200
211270,AP위성,93,6250,42,6720,6660
027410,BGF,1023,78328,475,6080,5940
282330,BGF리테일,1550,12976,2535,195500,192500
138930,BNK금융지주,3863,559931,3952,7080,6910
001460,BYC,163,1512,366,244000,238500
001465,BYC우,40,263,34,130500,128000
001040,CJ,2584,52473,4293,82100,79900
00104K,CJ4우(전환),1079,14455,870,60800,59200
000120,CJ대한통운,3225,26940,3932,145500,145000
011150,CJ씨푸드,3101,860065,2637,3020,3020
011155,CJ씨푸드1우,150,3653,120,32900,32600
001045,CJ우,190,2481,105,42700,41900
097950,CJ제일제당,3440,30673,6742,219000,217000
051500,CJ프레시웨이,3655,18798,478,25350,25100
037560,CJ헬로,833,100431,632,6300,6250
058820,CMG제약,14794,1726279,5047,2900,2880
023460,CNH,25842,897277,1359,1470,1475
065770,CS,334,202261,706,3525,3465
000590,CS홀딩스,19,92,5,57800,57800
012030,DB,1303,482108,372,771,755
322780,DB금융스팩7호,25,24273,51,2085,2080
016610,DB금융투자,435,37801,170,4470,4450
005830,DB손해보험,13645,203098,10919,53200,52000
000990,DB하이텍,4939,300590,5130,17050,17050
000995,DB하이텍1우,192,3448,141,40800,39900
139130,DGB금융지주,4277,638628,4588,7180,7000
001530,DI동일,797,2330,179,76600,76400
068790,DMS,608,111065,587,5370,5180
004840,DRB동일,118,3720,21,5570,5540
241520,DSC인베스트먼트,1288,74535,215,2910,2865
155660,DSR,462,35688,146,4110,4060
069730,DSR제강,624,46636,203,4420,4270
017940,E1,256,4226,209,49750,49200
245620,EDGC,255,54302,319,5880,5820
037370,EG,405,35023,320,9290,8970
007700,F&F,9374,90673,8573,93500,92300
130500,GH신소재,683,46216,129,2830,2760
114090,GKL,1993,103439,2265,21800,21700
900290,GRT,2707,475280,983,2050,2040
078930,GS,5467,67752,3430,50700,49850
083450,GST,278,39379,281,7100,7120
006360,GS건설,6922,280460,8820,31600,30850
001250,GS글로벌,586,139127,331,2395,2340
007070,GS리테일,6796,89227,3655,41000,40700
078935,GS우,117,5912,219,37200,36850
028150,GS홈쇼핑,2844,8680,1313,152000,148800
